Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,NumVotes,Release Date,Directors
37,tt2742544,11/29/2017,11/29/2017,,Until Dawn,"https://m.media-amazon.com/images/M/MV5BOTVlYWVmOTYtNGI3OS00YWUyLTlkZDItMDA4ZWZiNjVmZmZmXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_UY209_CR0,0,140,209_AL_.jpg",videoGame,8.8,,2015,"Horror, Mystery, Thriller",13642,8/25/2015,Will Byles
38,tt5807780,11/29/2017,11/29/2017,,Spider-Man,"https://m.media-amazon.com/images/M/MV5BNjYwYTJjMjQtNTM3OC00YmEwLTg5YzktY2FlNzUwMmNiYWI2XkEyXkFqcGdeQXVyNzU3Nzk4MDQ@._V1_UY209_CR13,0,140,209_AL_.jpg",videoGame,9.2,,2018,"Action, Adventure, Fantasy, Sci-Fi",19147,9/7/2018,Ryan Smith
39,tt6795336,11/29/2017,11/29/2017,,Days Gone,"https://m.media-amazon.com/images/M/MV5BMzdhNThjYzEtMDRmNi00MmY2LWJkMWItZWUzY2ZjOTcwOTQyXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UY209_CR4,0,140,209_AL_.jpg",videoGame,8.3,,2019,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",5500,4/26/2019,"Jeff Ross, John Garvin"
40,tt5158314,11/29/2017,11/29/2017,,Detroit: Become Human,"https://m.media-amazon.com/images/M/MV5BZTkyMzQ3MWUtZWE0YS00ZDNhLThhMzEtZjJmZTM1YTI5NjM0XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UY209_CR7,0,140,209_AL_.jpg",videoGame,9.2,,2018,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",15557,5/25/2018,David Cage
41,tt6161168,11/29/2017,11/29/2017,,Red Dead Redemption II,"https://m.media-amazon.com/images/M/MV5BMThiMGJkNDUtYjIxYy00ZTRhLWE5NmUtNzI4NTJlOGI4ZTMwXkEyXkFqcGdeQXVyNTk1ODMyNjA@._V1_UY209_CR14,0,140,209_AL_.jpg",videoGame,9.7,,2018,"Action, Adventure, Crime, Drama, Western",32527,10/26/2018,
42,tt6298000,11/29/2017,11/29/2017,,The Last of Us: Part II,"https://m.media-amazon.com/images/M/MV5BODUwNWY5YjctNDZkNy00ZTY1LWEzMzItZGVkYTllOWVjOTc3XkEyXkFqcGdeQXVyNjU4NTIxNzI@._V1_UY209_CR5,0,140,209_AL_.jpg",videoGame,8.5,,2020,"Action, Adventure, Drama, Fantasy, Horror, Sci-Fi",28581,6/19/2020,"Kurt Margenau, Anthony Newman, Neil Druckmann"
43,tt7447318,11/30/2017,11/30/2017,,Metro Exodus,"https://m.media-amazon.com/images/M/MV5BNTkwZWI1NzctZGJlMi00OGFhLWFiMmItYjQ5MTYzYzJiYWYyXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.2,,2019,"Action, Adventure, Horror, Sci-Fi",2159,2/15/2019,Andrew Prokhorov
44,tt7000436,11/30/2017,11/30/2017,,Anthem,"https://m.media-amazon.com/images/M/MV5BOTFmYTUzOWEtMGM0Zi00NzM4LWJmZmYtMDlhYjA3MWM1MjViXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_UY209_CR5,0,140,209_AL_.jpg",videoGame,5.4,,2019,"Action, Adventure, Sci-Fi",807,2/22/2019,"Mac Walters, Caroline Livingstone, Jon Warner"
45,tt5838588,11/30/2017,11/30/2017,,God of War,"https://m.media-amazon.com/images/M/MV5BMmVjMzkyYWMtNDNhNi00ZWI3LTgxNGUtODRkMWYxNjZmNDI5XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,9.6,,2018,"Action, Adventure, Drama, Fantasy",23965,4/20/2018,Cory Barlog
46,tt7651352,11/30/2017,11/30/2017,,Ghost of Tsushima,"https://m.media-amazon.com/images/M/MV5BYTU4YjkyMTItY2JlOS00YzE2LThiZDktODIzY2I0MjEzNDQ2XkEyXkFqcGdeQXVyMTI0MzA4NTgw._V1_UY209_CR34,0,140,209_AL_.jpg",videoGame,9.3,,2020,"Action, Adventure, Drama, History, War",7288,7/17/2020,Nate Fox
47,tt1262971,11/30/2017,11/30/2017,,Beyond Good & Evil 2,"https://m.media-amazon.com/images/M/MV5BMDc0NTFkMmEtZjVhYy00MmVjLThmNWYtYjBiY2M0ZmU3MjkwXkEyXkFqcGdeQXVyNjMxMDgyNzQ@._V1_UY209_CR5,0,140,209_AL_.jpg",videoGame,,,,"Action, Adventure, Sci-Fi",,,"François Daubet, Michel Ancel"
48,tt5807606,11/29/2017,11/29/2017,,Death Stranding,"https://m.media-amazon.com/images/M/MV5BMjIxZTljZGItZTIwYS00ZjIzLWJlZTMtZWIyODg0NjA0NTNmXkEyXkFqcGdeQXVyMTI0MzA4NTgw._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.8,,2019,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",7559,11/8/2019,Hideo Kojima
49,tt3810192,11/30/2017,11/30/2017,,Cyberpunk 2077,"https://m.media-amazon.com/images/M/MV5BMGU4ODVkZDYtYjNiNS00YmFiLWFmOWQtODM2NDRjZDAxNzliXkEyXkFqcGdeQXVyMTI0MzA4NTgw._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8,,2020,"Action, Crime, Drama, Sci-Fi, Thriller",7154,12/10/2020,Adam Badowski
50,tt6468680,11/30/2017,11/30/2017,,Marvel's Avengers,"https://m.media-amazon.com/images/M/MV5BM2Q5MjY1ZGQtZjY2My00NTg5LWIzZGYtY2E4MzgxYzQ0MjYwXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_UY209_CR6,0,140,209_AL_.jpg",videoGame,6.4,,2020,"Action, Adventure, Fantasy, Sci-Fi",2201,9/4/2020,"Shaun Escayg, Morgan W. Gray"
